Countries and territories,Place,Start date,End date,Level
Albania,Albania,2020-03-13[3],2020-06-01[4],National
Algeria,Algeria,2020-03-23[5],2020-05-14[6],City
Argentina,Argentina,2020-03-19[7],2020-06-28[8],National
Armenia,Armenia,2020-03-24[9],2020-05-04[10],National
Australia,Australia,2020-03-23[11],,National
Austria,Austria,2020-03-16[12],2020-04-13[13],National
Azerbaijan,Azerbaijan,2020-03-31[14],2020-04-20[14],National
Bangladesh,Bangladesh,2020-03-26[15],2020-05-16[16],National
Barbados,Barbados,2020-03-28[17],2020-05-03[17],National
Belgium,Belgium,2020-03-18[18],2020-05-04 [19],National
Bermuda,Bermuda,2020-04-04[20],2020-05-02[21],National
Bolivia,Bolivia,2020-03-22[22],2020-04-15[22],National
Botswana,Botswana,2020-04-02[23],2020-04-30[23],National
Brazil,Santa Catarina,2020-03-17[24],2020-04-07[24],State
Brazil,Ṣo Paulo,2020-03-24[25],2020-05-10[26],State
Colombia,Colombia,2020-03-25[27],2020-06-30[28],National
Republic of the Congo,Republic of the Congo,2020-03-31[29],2020-04-20[29],National
Costa Rica,Costa Rica,2020-03-23[30],,National
Croatia,Croatia,2020-03-18[31],2020-04-19[32],National
Czech Republic,Czech Republic,2020-03-16[12],2020-04-12[33],National
Ecuador,Ecuador,2020-03-16[34],2020-03-31[34],National
El Salvador,El Salvador,2020-03-12[35],2020-04-02[35],National
Eritrea,Eritrea,2020-04-02[36],2020-04-23[36],National
Fiji,Lautoka,2020-03-20[37],2020-04-07[38],City
Fiji,Suva,2020-04-03[39],2020-04-17[40],City
Finland,Uusimaa,2020-03-27[41],2020-04-16[41],Region
France,France,2020-03-17[42],2020-05-11[43],National
Georgia,Georgia,2020-03-31[44],2020-04-21[44],National
Germany,Germany,2020-03-23[a][46],2020-04-20[47]to 2020-05-10[48],National
Ghana,Accra,2020-03-30[49],2020-04-12[50],Metropolitan Area
Ghana,Kumasi,2020-03-30[49],2020-04-12[50],Metropolitan Area
Greece,Greece,2020-03-23[51],2020-05-04[52],National
Guernsey,Guernsey,2020-03-25[53],,National
Honduras,Honduras,2020-03-20[54],2020-05-17[55],National
Hungary,Hungary,2020-03-28[56],2020-04-10[56],National
India,India,2020-03-25[57],2020-06-30[58],National
Iran,Iran,2020-03-14[59],2020-04-20[60],National
Iraq,Iraq,2020-03-22[61],2020-04-11[62],National
Ireland,Ireland,2020-03-12[63],2020-05-18[64],National
Israel,Bnei Brak,2020-04-02[65],,City
Italy,Italy,2020-03-09[b][66],2020-05-18[67],National
Jamaica,Saint Catherine,2020-04-15[68],2020-04-22[68],Parish
Jordan,Jordan,2020-03-18[69],2020-04-30[70],National
Kosovo,Kosovo,2020-03-14[71],2020-05-04 [72],National
Kuwait,Kuwait,2020-03-14[73],2020-03-29[73],National
Lebanon,Lebanon,2020-03-15[74],2020-03-28[74],National
Liberia,Margibi,2020-03-23[75],2020-04-11[75],County
Liberia,Montserrado,2020-03-23[75],2020-04-11[75],County
Libya,Libya,2020-03-22[76],,National
Lithuania,Lithuania,2020-03-16[77],2020-04-27[78],National
Madagascar,Antananarivo,2020-03-23[79],2020-04-20[80],City
Madagascar,Toamasina,2020-03-23[79],2020-04-20[80],City
Malaysia,Malaysia,2020-03-18[81],2020-06-09[82],National
Mexico,Mexico,2020-03-23[83],2020-06-01[83],National
Mongolia,Mongolia,2020-03-10[84],2020-03-16[84],National
Montenegro,Tuzi,2020-03-24[85],,Municipality
Morocco,Morocco,2020-03-19[86],2020-06-10[87],National
Namibia,Namibia,2020-03-27[c][88],2020-05-04[89],National
Nepal,Nepal,2020-03-24[90],2020-06-14[91],National
New Zealand,New Zealand,2020-03-26[92],2020-05-14[93],National
Nigeria,Abuja,2020-03-30[94],2020-04-12[94],City
Nigeria,Lagos,2020-03-30[94],2020-04-12[94],City
Nigeria,Ogun,2020-03-30[94],2020-04-12[94],State
Northern Cyprus,Northern Cyprus,2020-03-30[95],,National
Oman,Muscat,2020-04-10[96],2020-05-29[97],Governorate
Oman,Jalan Bani Bu Ali,2020-04-16[98],TBD[98],Province
Pakistan,Pakistan,2020-03-24[99],2020-05-09[100],National
Panama,Panama,2020-03-25[101],,National
Papua New Guinea,Papua New Guinea,2020-03-24[102],2020-04-07[102],National
Paraguay,Paraguay,2020-03-20[103],2020-05-03[104],National
Peru,Peru,2020-03-16[105],2020-06-30[106],National
Philippines,Cebu,2020-03-27[107],2020-05-15[d][108]to 2020-05-31[e][109],Province
Philippines,Davao Region,2020-03-19[110],2020-05-15[108],Region
Philippines,Luzon,2020-03-15[f][111],2020-04-30[g][112]to 2020-05-15[h][113]to 2020-05-31[e][109],Island group
Philippines,Soccsksargen,2020-03-23[110],2020-05-15[114],Region
Poland,Poland,2020-03-13[115],2020-04-11[116],National
Portugal,Portugal,2020-03-19[117],2020-04-02[116],National
Qatar,Doha Industrial Area,2020-03-11[118],,Industrial park
Romania,Romania,2020-03-25[119],2020-05-12[120],National
Russia,Moscow,2020-03-30[121],2020-05-12[122][123],Metropolitan area
Russia,Rest of the country[i],2020-03-28[124],2020-04-30[124],National
Rwanda,Rwanda,2020-03-21[125],2020-04-19[126],National
Samoa,Samoa,2020-03-26[127],2020-04-08[128],National
San Marino,San Marino,2020-03-14[129],2020-05-05[130],National
Saudi Arabia,Jeddah,2020-03-29[131],,City
Saudi Arabia,Mecca,2020-03-26[131],,City
Saudi Arabia,Medina,2020-03-26[131],,City
Saudi Arabia,Qatif,2020-03-09[132],,Area
Saudi Arabia,Riyadh,2020-03-26[131],,City
Serbia,Serbia,2020-03-15[116],2020-04-21[133]to 2020-05-04[134],National
Singapore,Singapore,2020-04-07[135],2020-06-01[136],National
South Africa,South Africa,2020-03-26[137],2020-04-30[138],National
Spain,Spain,2020-03-14[139],2020-05-09[140],National
Sri Lanka,Sri Lanka,2020-03-18[141],2020-05-26[142],National
Thailand,Thailand,2020-03-25[143],2020-05-31[144],National
Trinidad and Tobago,Trinidad and Tobago,2020-03-17[145],2020-03-31[145],National
Tunisia,Tunisia,2020-03-22[146],2020-04-19[147],
Turkey,Turkey,2020-04-23[148],2020-04-27[148],Only in 30 metropolitan cities and Zonguldak.
Ukraine,Ukraine,2020-03-17[116],2020-04-24[116],National
United Arab Emirates,United Arab Emirates,2020-03-26[149],2020-04-17[150],National
United Kingdom,United Kingdom,2020-03-23[151],,National
United States,California,2020-03-19[152],,State
United States,Clark County in Nevada,3/20/20,,County
United States,Connecticut,2020-03-23[153],2020-04-22[154],State
United States,Illinois,2020-03-21[155],2020-05-30[156],State
United States,Kansas City in Kansas,2020-03-24[157],2020-04-19[158],City
United States,Massachusetts,2020-03-24[159],2020-05-04[159],State
United States,Michigan,2020-03-24[160],2020-04-13[154],State
United States,New York,2020-03-22[161],2020-06-13[162],State
United States,Oregon,2020-03-24[163],,State
United States,Wisconsin,2020-03-24[164],,State
Venezuela,Venezuela,2020-03-17[165],2020-05-13[166],National
Vietnam,Vietnam,2020-04-01[167],2020-04-22[168],National
Zimbabwe,Zimbabwe,2020-03-30[169],2020-05-02[170],National